Date,Load(kW)
1/1/2016 0:00,893.7
1/1/2016 1:00,862.3
1/1/2016 2:00,794.3
1/1/2016 3:00,804
1/1/2016 4:00,812
1/1/2016 5:00,838.5
1/1/2016 6:00,858.3
1/1/2016 7:00,857.8
1/1/2016 8:00,898.9
1/1/2016 9:00,944.4
1/1/2016 10:00,1029.1
1/1/2016 11:00,1070.7
1/1/2016 12:00,1096.2
1/1/2016 13:00,1114.9
1/1/2016 14:00,1120.4
1/1/2016 15:00,1112.8
1/1/2016 16:00,1165.2
1/1/2016 17:00,1266.2
1/1/2016 18:00,1267
1/1/2016 19:00,1244.8
1/1/2016 20:00,1215.2
1/1/2016 21:00,1166.3
1/1/2016 22:00,1097.4
1/1/2016 23:00,1010.1
1/2/2016 0:00,943.6
1/2/2016 1:00,905.3
1/2/2016 2:00,875.5
1/2/2016 3:00,865.7
1/2/2016 4:00,874.3
1/2/2016 5:00,898.6
1/2/2016 6:00,946.5
1/2/2016 7:00,986.3
1/2/2016 8:00,1033.3
1/2/2016 9:00,1078.8
1/2/2016 10:00,1100.9
1/2/2016 11:00,1111.2
1/2/2016 12:00,1116.8
1/2/2016 13:00,1106.1
1/2/2016 14:00,1102.9
1/2/2016 15:00,1130.8
1/2/2016 16:00,1206.5
1/2/2016 17:00,1283.3
1/2/2016 18:00,1278.9
1/2/2016 19:00,1256.4
1/2/2016 20:00,1222.9
1/2/2016 21:00,1173.6
1/2/2016 22:00,1107.7
1/2/2016 23:00,1033.8
1/3/2016 0:00,947.5
1/3/2016 1:00,906.4
1/3/2016 2:00,862.4
1/3/2016 3:00,854.8
1/3/2016 4:00,859.9
1/3/2016 5:00,875.9
1/3/2016 6:00,922.9
1/3/2016 7:00,952
1/3/2016 8:00,990.6
1/3/2016 9:00,1023.8
1/3/2016 10:00,1055
1/3/2016 11:00,1094.8
1/3/2016 12:00,1122.3
1/3/2016 13:00,1104.7
1/3/2016 14:00,1098.6
1/3/2016 15:00,1122.7
1/3/2016 16:00,1216.6
1/3/2016 17:00,1307.6
1/3/2016 18:00,1311.3
1/3/2016 19:00,1282.4
1/3/2016 20:00,1234.5
1/3/2016 21:00,1167.2
1/3/2016 22:00,1073.6
1/3/2016 23:00,981.2
1/4/2016 0:00,903.4
1/4/2016 1:00,871.8
1/4/2016 2:00,863.9
1/4/2016 3:00,862.1
1/4/2016 4:00,891.9
1/4/2016 5:00,971.6
1/4/2016 6:00,1088.1
1/4/2016 7:00,1161.8
1/4/2016 8:00,1178.5
1/4/2016 9:00,1181.2
1/4/2016 10:00,1186.1
1/4/2016 11:00,1190.1
1/4/2016 12:00,1193.5
1/4/2016 13:00,1215.6
1/4/2016 14:00,1233.2
1/4/2016 15:00,1269.7
1/4/2016 16:00,1363.6
1/4/2016 17:00,1491.9
1/4/2016 18:00,1511.8
1/4/2016 19:00,1496.1
1/4/2016 20:00,1457.1
1/4/2016 21:00,1395.9
1/4/2016 22:00,1293.8
1/4/2016 23:00,1182.4
1/5/2016 0:00,1112.5
1/5/2016 1:00,1078.8
1/5/2016 2:00,1061.2
1/5/2016 3:00,1057.2
1/5/2016 4:00,1076.2
1/5/2016 5:00,1134.9
1/5/2016 6:00,1265.1
1/5/2016 7:00,1326.9
1/5/2016 8:00,1343.9
1/5/2016 9:00,1339.8
1/5/2016 10:00,1352.4
1/5/2016 11:00,1335.2
1/5/2016 12:00,1310.5
1/5/2016 13:00,1310.9
1/5/2016 14:00,1306.2
1/5/2016 15:00,1319.9
1/5/2016 16:00,1390
1/5/2016 17:00,1524
1/5/2016 18:00,1545.8
1/5/2016 19:00,1533.6
1/5/2016 20:00,1493.4
1/5/2016 21:00,1405.4
1/5/2016 22:00,1276.9
1/5/2016 23:00,1172.5
1/6/2016 0:00,1101.5
1/6/2016 1:00,1058.5
1/6/2016 2:00,1048.1
1/6/2016 3:00,1046.2
1/6/2016 4:00,1064
1/6/2016 5:00,1123.1
1/6/2016 6:00,1237.9
1/6/2016 7:00,1302
1/6/2016 8:00,1296.9
1/6/2016 9:00,1287.2
1/6/2016 10:00,1270.3
1/6/2016 11:00,1253.1
1/6/2016 12:00,1224.8
1/6/2016 13:00,1209.3
1/6/2016 14:00,1209.8
1/6/2016 15:00,1229.9
1/6/2016 16:00,1294.2
1/6/2016 17:00,1436
1/6/2016 18:00,1441.6
1/6/2016 19:00,1414.8
1/6/2016 20:00,1378.8
1/6/2016 21:00,1307.6
1/6/2016 22:00,1207.7
1/6/2016 23:00,1104
1/7/2016 0:00,1031.9
1/7/2016 1:00,995.5
1/7/2016 2:00,979.6
1/7/2016 3:00,975.6
1/7/2016 4:00,993.3
1/7/2016 5:00,1061.3
1/7/2016 6:00,1189.2
1/7/2016 7:00,1263.8
1/7/2016 8:00,1272.1
1/7/2016 9:00,1271.6
1/7/2016 10:00,1258.1
1/7/2016 11:00,1241.5
1/7/2016 12:00,1210.8
1/7/2016 13:00,1186.1
1/7/2016 14:00,1179.4
1/7/2016 15:00,1188.4
1/7/2016 16:00,1259.9
1/7/2016 17:00,1387.7
1/7/2016 18:00,1406.5
1/7/2016 19:00,1387.9
1/7/2016 20:00,1354.6
1/7/2016 21:00,1287.6
1/7/2016 22:00,1188.3
1/7/2016 23:00,1091.8
1/8/2016 0:00,1011.2
1/8/2016 1:00,990
1/8/2016 2:00,979.6
1/8/2016 3:00,976.4
1/8/2016 4:00,996.1
1/8/2016 5:00,1062.7
1/8/2016 6:00,1185
1/8/2016 7:00,1255.5
1/8/2016 8:00,1269.9
1/8/2016 9:00,1257.6
1/8/2016 10:00,1245.3
1/8/2016 11:00,1232.6
1/8/2016 12:00,1209.1
1/8/2016 13:00,1193.4
1/8/2016 14:00,1190.4
1/8/2016 15:00,1194.6
1/8/2016 16:00,1259.8
1/8/2016 17:00,1339
1/8/2016 18:00,1336.2
1/8/2016 19:00,1304.2
1/8/2016 20:00,1267.1
1/8/2016 21:00,1211.7
1/8/2016 22:00,1131
1/8/2016 23:00,1040.8
1/9/2016 0:00,955.8
1/9/2016 1:00,909.3
1/9/2016 2:00,883.2
1/9/2016 3:00,879.6
1/9/2016 4:00,882.4
1/9/2016 5:00,907.8
1/9/2016 6:00,952.4
1/9/2016 7:00,1004.1
1/9/2016 8:00,1067.3
1/9/2016 9:00,1122
1/9/2016 10:00,1151.9
1/9/2016 11:00,1155.1
1/9/2016 12:00,1150.2
1/9/2016 13:00,1148.4
1/9/2016 14:00,1134.2
1/9/2016 15:00,1124
1/9/2016 16:00,1173.5
1/9/2016 17:00,1244.3
1/9/2016 18:00,1246.2
1/9/2016 19:00,1213.9
1/9/2016 20:00,1183.2
1/9/2016 21:00,1135.3
1/9/2016 22:00,1068.1
1/9/2016 23:00,992.4
1/10/2016 0:00,901.6
1/10/2016 1:00,841.6
1/10/2016 2:00,840.7
1/10/2016 3:00,829.3
1/10/2016 4:00,838.5
1/10/2016 5:00,863.4
1/10/2016 6:00,892.8
1/10/2016 7:00,950.2
1/10/2016 8:00,972.4
1/10/2016 9:00,1026.3
1/10/2016 10:00,1093.9
1/10/2016 11:00,1129.9
1/10/2016 12:00,1135.7
1/10/2016 13:00,1124.6
1/10/2016 14:00,1112.5
1/10/2016 15:00,1138.4
1/10/2016 16:00,1158
1/10/2016 17:00,1253.4
1/10/2016 18:00,1260
1/10/2016 19:00,1223.9
1/10/2016 20:00,1185.1
1/10/2016 21:00,1118.7
1/10/2016 22:00,1028.9
1/10/2016 23:00,939.5
1/11/2016 0:00,885.7
1/11/2016 1:00,846.4
1/11/2016 2:00,843.2
1/11/2016 3:00,854
1/11/2016 4:00,880.5
1/11/2016 5:00,951.2
1/11/2016 6:00,1082
1/11/2016 7:00,1161.4
1/11/2016 8:00,1171.3
1/11/2016 9:00,1167.6
1/11/2016 10:00,1173.4
1/11/2016 11:00,1175.9
1/11/2016 12:00,1172.4
1/11/2016 13:00,1176.5
1/11/2016 14:00,1178.9
1/11/2016 15:00,1166.4
1/11/2016 16:00,1247.5
1/11/2016 17:00,1373
1/11/2016 18:00,1382.8
1/11/2016 19:00,1368.6
1/11/2016 20:00,1333.9
1/11/2016 21:00,1267.3
1/11/2016 22:00,1171.5
1/11/2016 23:00,1079.4
1/12/2016 0:00,1011.4
1/12/2016 1:00,974.8
1/12/2016 2:00,955.5
1/12/2016 3:00,954.6
1/12/2016 4:00,976.6
1/12/2016 5:00,1043
1/12/2016 6:00,1164.9
1/12/2016 7:00,1234.4
1/12/2016 8:00,1240.9
1/12/2016 9:00,1250.9
1/12/2016 10:00,1252.1
1/12/2016 11:00,1236.1
1/12/2016 12:00,1259.8
1/12/2016 13:00,1267.7
1/12/2016 14:00,1267.5
1/12/2016 15:00,1286.4
1/12/2016 16:00,1340.5
1/12/2016 17:00,1435.9
1/12/2016 18:00,1436.5
1/12/2016 19:00,1402.9
1/12/2016 20:00,1359.2
1/12/2016 21:00,1282.9
1/12/2016 22:00,1184.3
1/12/2016 23:00,1089.1
1/13/2016 0:00,1021.8
1/13/2016 1:00,988.5
1/13/2016 2:00,977.8
1/13/2016 3:00,973.4
1/13/2016 4:00,995.2
1/13/2016 5:00,1063
1/13/2016 6:00,1186.4
1/13/2016 7:00,1260.1
1/13/2016 8:00,1275.6
1/13/2016 9:00,1287.3
1/13/2016 10:00,1297.3
1/13/2016 11:00,1292.2
1/13/2016 12:00,1285
1/13/2016 13:00,1267.3
1/13/2016 14:00,1253.9
1/13/2016 15:00,1279.7
1/13/2016 16:00,1340.3
1/13/2016 17:00,1462.2
1/13/2016 18:00,1486.8
1/13/2016 19:00,1464
1/13/2016 20:00,1420.7
1/13/2016 21:00,1343.9
1/13/2016 22:00,1230.1
1/13/2016 23:00,1128.9
1/14/2016 0:00,1060
1/14/2016 1:00,1022
1/14/2016 2:00,1005.1
1/14/2016 3:00,1008.1
1/14/2016 4:00,1026
