Date,Load(kW)
1/1/2016 0:00,4894.5
1/1/2016 1:00,4712.7
1/1/2016 2:00,4510.4
1/1/2016 3:00,4368.4
1/1/2016 4:00,4286.8
1/1/2016 5:00,4312.1
1/1/2016 6:00,4405.8
1/1/2016 7:00,4476.1
1/1/2016 8:00,4607.1
1/1/2016 9:00,4797
1/1/2016 10:00,4968.4
1/1/2016 11:00,5096
1/1/2016 12:00,5209.4
1/1/2016 13:00,5256.4
1/1/2016 14:00,5348.7
1/1/2016 15:00,5394
1/1/2016 16:00,5508.8
1/1/2016 17:00,5733.2
1/1/2016 18:00,5751.5
1/1/2016 19:00,5699.7
1/1/2016 20:00,5606.4
1/1/2016 21:00,5501.3
1/1/2016 22:00,5319
1/1/2016 23:00,5066.5
1/2/2016 0:00,4808.3
1/2/2016 1:00,4593.7
1/2/2016 2:00,4431
1/2/2016 3:00,4337
1/2/2016 4:00,4307.4
1/2/2016 5:00,4375.1
1/2/2016 6:00,4529.6
1/2/2016 7:00,4692.7
1/2/2016 8:00,4939.8
1/2/2016 9:00,5191.1
1/2/2016 10:00,5366.3
1/2/2016 11:00,5464.3
1/2/2016 12:00,5488.8
1/2/2016 13:00,5457.8
1/2/2016 14:00,5451.5
1/2/2016 15:00,5463.2
1/2/2016 16:00,5633.5
1/2/2016 17:00,5890.9
1/2/2016 18:00,5915.5
1/2/2016 19:00,5851.5
1/2/2016 20:00,5741.7
1/2/2016 21:00,5622.7
1/2/2016 22:00,5419.1
1/2/2016 23:00,5169.2
1/3/2016 0:00,4887.1
1/3/2016 1:00,4638.8
1/3/2016 2:00,4462.2
1/3/2016 3:00,4354.7
1/3/2016 4:00,4316.9
1/3/2016 5:00,4353.7
1/3/2016 6:00,4456
1/3/2016 7:00,4573.2
1/3/2016 8:00,4788.9
1/3/2016 9:00,4987.1
1/3/2016 10:00,5166.3
1/3/2016 11:00,5280.5
1/3/2016 12:00,5334.3
1/3/2016 13:00,5363.6
1/3/2016 14:00,5398.2
1/3/2016 15:00,5434.4
1/3/2016 16:00,5611.8
1/3/2016 17:00,5902.3
1/3/2016 18:00,5953.6
1/3/2016 19:00,5914.9
1/3/2016 20:00,5831.3
1/3/2016 21:00,5645.4
1/3/2016 22:00,5374.4
1/3/2016 23:00,5029.2
1/4/2016 0:00,4731.1
1/4/2016 1:00,4525.4
1/4/2016 2:00,4391.1
1/4/2016 3:00,4357.4
1/4/2016 4:00,4413.2
1/4/2016 5:00,4695.1
1/4/2016 6:00,5277
1/4/2016 7:00,5853.6
1/4/2016 8:00,6211.6
1/4/2016 9:00,6475.4
1/4/2016 10:00,6543.2
1/4/2016 11:00,6575.4
1/4/2016 12:00,6600.7
1/4/2016 13:00,6615.4
1/4/2016 14:00,6624.4
1/4/2016 15:00,6691.3
1/4/2016 16:00,6892.5
1/4/2016 17:00,7167.2
1/4/2016 18:00,7102.6
1/4/2016 19:00,6991.5
1/4/2016 20:00,6816.4
1/4/2016 21:00,6590.6
1/4/2016 22:00,6229.1
1/4/2016 23:00,5796.2
1/5/2016 0:00,5412.6
1/5/2016 1:00,5185.7
1/5/2016 2:00,5049.4
1/5/2016 3:00,4994.9
1/5/2016 4:00,5046.7
1/5/2016 5:00,5301.3
1/5/2016 6:00,5828
1/5/2016 7:00,6360
1/5/2016 8:00,6704.4
1/5/2016 9:00,6929.1
1/5/2016 10:00,7024.8
1/5/2016 11:00,7029.7
1/5/2016 12:00,7018
1/5/2016 13:00,7005.9
1/5/2016 14:00,6970.5
1/5/2016 15:00,6991.5
1/5/2016 16:00,7105
1/5/2016 17:00,7297.1
1/5/2016 18:00,7186.2
1/5/2016 19:00,7038.5
1/5/2016 20:00,6832.4
1/5/2016 21:00,6556.7
1/5/2016 22:00,6166.7
1/5/2016 23:00,5703.7
1/6/2016 0:00,5303.9
1/6/2016 1:00,5060.4
1/6/2016 2:00,4911.2
1/6/2016 3:00,4851.6
1/6/2016 4:00,4888.2
1/6/2016 5:00,5144.2
1/6/2016 6:00,5686.8
1/6/2016 7:00,6238.1
1/6/2016 8:00,6520.3
1/6/2016 9:00,6695.7
1/6/2016 10:00,6746.4
1/6/2016 11:00,6754.9
1/6/2016 12:00,6725.4
1/6/2016 13:00,6688.7
1/6/2016 14:00,6653.5
1/6/2016 15:00,6682
1/6/2016 16:00,6806.3
1/6/2016 17:00,7034.6
1/6/2016 18:00,6898.2
1/6/2016 19:00,6729.7
1/6/2016 20:00,6534.7
1/6/2016 21:00,6277.6
1/6/2016 22:00,5892.6
1/6/2016 23:00,5451.5
1/7/2016 0:00,5064.5
1/7/2016 1:00,4814.4
1/7/2016 2:00,4680.1
1/7/2016 3:00,4624.9
1/7/2016 4:00,4669.3
1/7/2016 5:00,4927
1/7/2016 6:00,5488.2
1/7/2016 7:00,6044.5
1/7/2016 8:00,6317.1
1/7/2016 9:00,6490.9
1/7/2016 10:00,6541.4
1/7/2016 11:00,6547
1/7/2016 12:00,6542.8
1/7/2016 13:00,6530.9
1/7/2016 14:00,6508.5
1/7/2016 15:00,6536.7
1/7/2016 16:00,6648.8
1/7/2016 17:00,6843.3
1/7/2016 18:00,6697.7
1/7/2016 19:00,6513.3
