Date,Load(kW)
1/1/2016 0:00,490.2
1/1/2016 1:00,483.7
1/1/2016 2:00,478.2
1/1/2016 3:00,473.6
1/1/2016 4:00,473.3
1/1/2016 5:00,479.2
1/1/2016 6:00,486.7
1/1/2016 7:00,494.7
1/1/2016 8:00,505.4
1/1/2016 9:00,517.8
1/1/2016 10:00,526.9
1/1/2016 11:00,533.2
1/1/2016 12:00,535.2
1/1/2016 13:00,525.5
1/1/2016 14:00,518
1/1/2016 15:00,520.3
1/1/2016 16:00,536.5
1/1/2016 17:00,552.8
1/1/2016 18:00,550.7
1/1/2016 19:00,545.3
1/1/2016 20:00,537.9
1/1/2016 21:00,527.7
1/1/2016 22:00,516.4
1/1/2016 23:00,505.5
1/2/2016 0:00,496.8
1/2/2016 1:00,489.6
1/2/2016 2:00,484.2
1/2/2016 3:00,483.8
1/2/2016 4:00,485.7
1/2/2016 5:00,494
1/2/2016 6:00,505
1/2/2016 7:00,516.1
1/2/2016 8:00,528.2
1/2/2016 9:00,539
1/2/2016 10:00,547.9
1/2/2016 11:00,548.9
1/2/2016 12:00,549.6
1/2/2016 13:00,545.7
1/2/2016 14:00,541.6
1/2/2016 15:00,541.6
1/2/2016 16:00,551.7
1/2/2016 17:00,564.1
1/2/2016 18:00,562.3
1/2/2016 19:00,554
1/2/2016 20:00,543.6
1/2/2016 21:00,529.4
1/2/2016 22:00,512.8
1/2/2016 23:00,502
1/3/2016 0:00,495.7
1/3/2016 1:00,488.2
1/3/2016 2:00,483.7
1/3/2016 3:00,480.5
1/3/2016 4:00,480.5
1/3/2016 5:00,486.2
1/3/2016 6:00,493.4
1/3/2016 7:00,508.2
1/3/2016 8:00,519.2
1/3/2016 9:00,530.6
1/3/2016 10:00,536.4
1/3/2016 11:00,541.4
1/3/2016 12:00,540.9
1/3/2016 13:00,536.7
1/3/2016 14:00,534.4
1/3/2016 15:00,537.8
1/3/2016 16:00,557.9
1/3/2016 17:00,575
1/3/2016 18:00,574.6
1/3/2016 19:00,572.3
1/3/2016 20:00,566.8
1/3/2016 21:00,550.2
1/3/2016 22:00,532.8
1/3/2016 23:00,523.5
1/4/2016 0:00,524.6
1/4/2016 1:00,521.7
1/4/2016 2:00,522.9
1/4/2016 3:00,527.3
1/4/2016 4:00,534.6
1/4/2016 5:00,562.4
1/4/2016 6:00,590.7
1/4/2016 7:00,609.7
1/4/2016 8:00,609.4
1/4/2016 9:00,610.8
1/4/2016 10:00,608.6
1/4/2016 11:00,610.1
1/4/2016 12:00,609.6
1/4/2016 13:00,603.2
1/4/2016 14:00,599.7
1/4/2016 15:00,603.6
1/4/2016 16:00,622.3
1/4/2016 17:00,646.1
1/4/2016 18:00,649.1
1/4/2016 19:00,643.9
1/4/2016 20:00,635.3
1/4/2016 21:00,621.9
1/4/2016 22:00,603.8
1/4/2016 23:00,595
1/5/2016 0:00,589.1
1/5/2016 1:00,577.3
1/5/2016 2:00,574.2
1/5/2016 3:00,575.1
1/5/2016 4:00,577.1
1/5/2016 5:00,595.8
1/5/2016 6:00,624.4
1/5/2016 7:00,642.8
1/5/2016 8:00,641.3
1/5/2016 9:00,637
1/5/2016 10:00,629.5
1/5/2016 11:00,621.5
1/5/2016 12:00,613.1
1/5/2016 13:00,602.7
1/5/2016 14:00,597.9
1/5/2016 15:00,602.1
1/5/2016 16:00,616.4
1/5/2016 17:00,639.7
1/5/2016 18:00,637.6
1/5/2016 19:00,636.7
1/5/2016 20:00,631.5
1/5/2016 21:00,611.9
1/5/2016 22:00,588.8
1/5/2016 23:00,582.2
1/6/2016 0:00,576.5
1/6/2016 1:00,568.1
1/6/2016 2:00,564.3
1/6/2016 3:00,561.9
1/6/2016 4:00,564.4
1/6/2016 5:00,577.6
1/6/2016 6:00,610.8
1/6/2016 7:00,621.6
1/6/2016 8:00,612.2
1/6/2016 9:00,601.4
1/6/2016 10:00,591.2
1/6/2016 11:00,579.8
1/6/2016 12:00,572.4
1/6/2016 13:00,572.2
1/6/2016 14:00,574
1/6/2016 15:00,563.3
1/6/2016 16:00,581.5
1/6/2016 17:00,601.2
1/6/2016 18:00,602.8
1/6/2016 19:00,598.6
1/6/2016 20:00,590.4
1/6/2016 21:00,573.5
1/6/2016 22:00,556.5
1/6/2016 23:00,546.9
1/7/2016 0:00,540.6
1/7/2016 1:00,538
1/7/2016 2:00,536.3
1/7/2016 3:00,533
1/7/2016 4:00,538.2
1/7/2016 5:00,556.2
1/7/2016 6:00,588.4
1/7/2016 7:00,601.4
1/7/2016 8:00,591.4
1/7/2016 9:00,578.2
1/7/2016 10:00,566.4
1/7/2016 11:00,559.7
1/7/2016 12:00,555.1
1/7/2016 13:00,546.3
1/7/2016 14:00,546.3
1/7/2016 15:00,544.8
1/7/2016 16:00,562.6
1/7/2016 17:00,584.3
1/7/2016 18:00,586.7
1/7/2016 19:00,582
1/7/2016 20:00,571.9
1/7/2016 21:00,558.6
1/7/2016 22:00,540.6
1/7/2016 23:00,530.5
1/8/2016 0:00,527.7
1/8/2016 1:00,527.5
1/8/2016 2:00,525.1
1/8/2016 3:00,525.1
1/8/2016 4:00,532.5
1/8/2016 5:00,551.9
1/8/2016 6:00,585.3
1/8/2016 7:00,597.3
1/8/2016 8:00,592.9
1/8/2016 9:00,587.2
1/8/2016 10:00,578.3
1/8/2016 11:00,570.8
1/8/2016 12:00,559.3
1/8/2016 13:00,550.5
1/8/2016 14:00,540.4
1/8/2016 15:00,544.8
1/8/2016 16:00,561.5
1/8/2016 17:00,572.1
1/8/2016 18:00,565.9
1/8/2016 19:00,558.7
1/8/2016 20:00,556.4
1/8/2016 21:00,547
1/8/2016 22:00,527.4
1/8/2016 23:00,511.3
1/9/2016 0:00,504.5
1/9/2016 1:00,496
1/9/2016 2:00,489.1
1/9/2016 3:00,487.3
1/9/2016 4:00,489.3
1/9/2016 5:00,496.7
1/9/2016 6:00,507.3
1/9/2016 7:00,518
1/9/2016 8:00,526.7
1/9/2016 9:00,535.7
1/9/2016 10:00,533.8
1/9/2016 11:00,533.2
1/9/2016 12:00,530.1
1/9/2016 13:00,522.9
1/9/2016 14:00,520.3
1/9/2016 15:00,517.5
1/9/2016 16:00,528.4
1/9/2016 17:00,542.3
1/9/2016 18:00,537.5
1/9/2016 19:00,531.5
1/9/2016 20:00,525.3
1/9/2016 21:00,511.1
1/9/2016 22:00,499.5
1/9/2016 23:00,485.4
1/10/2016 0:00,479.8
1/10/2016 1:00,471.2
1/10/2016 2:00,468.7
1/10/2016 3:00,461.5
1/10/2016 4:00,463.2
1/10/2016 5:00,469.1
1/10/2016 6:00,482.8
1/10/2016 7:00,497.8
1/10/2016 8:00,512.6
1/10/2016 9:00,525.2
1/10/2016 10:00,532.5
1/10/2016 11:00,536.9
1/10/2016 12:00,533.5
1/10/2016 13:00,525.5
1/10/2016 14:00,517.9
1/10/2016 15:00,517.5
1/10/2016 16:00,527.5
1/10/2016 17:00,533.8
1/10/2016 18:00,529.5
1/10/2016 19:00,524.3
1/10/2016 20:00,516.9
1/10/2016 21:00,510
1/10/2016 22:00,499.7
1/10/2016 23:00,493.8
1/11/2016 0:00,491.2
1/11/2016 1:00,488.5
1/11/2016 2:00,489.9
1/11/2016 3:00,493.2
1/11/2016 4:00,503.8
1/11/2016 5:00,524.3
1/11/2016 6:00,556.1
1/11/2016 7:00,572.5
1/11/2016 8:00,570.6
1/11/2016 9:00,568.8
1/11/2016 10:00,570.2
1/11/2016 11:00,571.2
1/11/2016 12:00,566.1
1/11/2016 13:00,566.2
1/11/2016 14:00,566.2
1/11/2016 15:00,568.1
1/11/2016 16:00,580.8
1/11/2016 17:00,602.2
1/11/2016 18:00,602
1/11/2016 19:00,594.7
1/11/2016 20:00,587.9
1/11/2016 21:00,568.9
1/11/2016 22:00,552.3
1/11/2016 23:00,542.8
1/12/2016 0:00,535.3
1/12/2016 1:00,533.1
1/12/2016 2:00,529.3
1/12/2016 3:00,528.8
1/12/2016 4:00,535.3
1/12/2016 5:00,549.4
1/12/2016 6:00,579.6
1/12/2016 7:00,595.6
1/12/2016 8:00,586
1/12/2016 9:00,577.3
1/12/2016 10:00,571.4
1/12/2016 11:00,581.2
1/12/2016 12:00,579.2
1/12/2016 13:00,584.6
1/12/2016 14:00,573
1/12/2016 15:00,570.2
1/12/2016 16:00,584.2
1/12/2016 17:00,598.4
1/12/2016 18:00,595.1
1/12/2016 19:00,587.4
1/12/2016 20:00,575.1
1/12/2016 21:00,555.7
1/12/2016 22:00,538.3
1/12/2016 23:00,529.4
1/13/2016 0:00,525
1/13/2016 1:00,519.2
1/13/2016 2:00,523.2
1/13/2016 3:00,525.7
1/13/2016 4:00,534.6
1/13/2016 5:00,555.7
1/13/2016 6:00,593.5
1/13/2016 7:00,607.5
1/13/2016 8:00,567.3
1/13/2016 9:00,600.6
1/13/2016 10:00,597.1
1/13/2016 11:00,592.8
1/13/2016 12:00,590.1
1/13/2016 13:00,584.7
1/13/2016 14:00,581.4
1/13/2016 15:00,585.6
1/13/2016 16:00,602.7
1/13/2016 17:00,622.8
1/13/2016 18:00,622.7
1/13/2016 19:00,620
1/13/2016 20:00,613.4
1/13/2016 21:00,592.8
1/13/2016 22:00,572.8
1/13/2016 23:00,564.6
1/14/2016 0:00,560.2
1/14/2016 1:00,554.5
1/14/2016 2:00,552.5
1/14/2016 3:00,549.6
1/14/2016 4:00,552.3
1/14/2016 5:00,568.8
1/14/2016 6:00,603.6
1/14/2016 7:00,615.9
1/14/2016 8:00,609.8
1/14/2016 9:00,598.3
1/14/2016 10:00,593.9
1/14/2016 11:00,589.5
1/14/2016 12:00,585.5
1/14/2016 13:00,581.2
1/14/2016 14:00,579.8
1/14/2016 15:00,582.6
1/14/2016 16:00,594.4
1/14/2016 17:00,610.9
1/14/2016 18:00,609.6
1/14/2016 19:00,607.2
1/14/2016 20:00,596.1
1/14/2016 21:00,576.9
1/14/2016 22:00,560.4
1/14/2016 23:00,549.2
1/15/2016 0:00,543.4
1/15/2016 1:00,539.3
1/15/2016 2:00,536.3
1/15/2016 3:00,535
1/15/2016 4:00,538.3
1/15/2016 5:00,554.7
1/15/2016 6:00,581.4
1/15/2016 7:00,594.1
1/15/2016 8:00,591.1
1/15/2016 9:00,593.4
1/15/2016 10:00,592.3
1/15/2016 11:00,587.4
1/15/2016 12:00,586.1
1/15/2016 13:00,582.1
1/15/2016 14:00,580.5
1/15/2016 15:00,577.6
1/15/2016 16:00,588.1
1/15/2016 17:00,601.8
1/15/2016 18:00,603.1
1/15/2016 19:00,599.5
1/15/2016 20:00,590.2
1/15/2016 21:00,578.1
1/15/2016 22:00,564.1
1/15/2016 23:00,552.9
1/16/2016 0:00,543.5
1/16/2016 1:00,537.5
1/16/2016 2:00,530.3
1/16/2016 3:00,526.4
1/16/2016 4:00,526.8
1/16/2016 5:00,530.9
1/16/2016 6:00,543.1
1/16/2016 7:00,553.5
1/16/2016 8:00,562.4
1/16/2016 9:00,566.9
1/16/2016 10:00,570.7
1/16/2016 11:00,568.5
1/16/2016 12:00,563.7
1/16/2016 13:00,558.3
1/16/2016 14:00,555.8
1/16/2016 15:00,556
1/16/2016 16:00,566.6
1/16/2016 17:00,574.5
1/16/2016 18:00,570.9
1/16/2016 19:00,568.6
1/16/2016 20:00,562.9
1/16/2016 21:00,551.8
1/16/2016 22:00,540.1
1/16/2016 23:00,531.8
1/17/2016 0:00,525.8
1/17/2016 1:00,518.8
1/17/2016 2:00,516.5
1/17/2016 3:00,515.4
1/17/2016 4:00,515.6
1/17/2016 5:00,525.3
1/17/2016 6:00,539.7
1/17/2016 7:00,550.8
1/17/2016 8:00,564
1/17/2016 9:00,572
1/17/2016 10:00,571.8
1/17/2016 11:00,570.3
1/17/2016 12:00,569.1
1/17/2016 13:00,567
1/17/2016 14:00,560.3
1/17/2016 15:00,561.9
1/17/2016 16:00,571.8
1/17/2016 17:00,589.9
1/17/2016 18:00,587.1
1/17/2016 19:00,578.2
1/17/2016 20:00,569.3
1/17/2016 21:00,553.9
1/17/2016 22:00,541.6
1/17/2016 23:00,534.4
1/18/2016 0:00,529.9
1/18/2016 1:00,521.6
1/18/2016 2:00,517.7
1/18/2016 3:00,517.1
1/18/2016 4:00,522.2
1/18/2016 5:00,536.1
1/18/2016 6:00,560.3
1/18/2016 7:00,575.7
1/18/2016 8:00,585.8
1/18/2016 9:00,592.7
1/18/2016 10:00,598.7
1/18/2016 11:00,601.4
1/18/2016 12:00,597.2
1/18/2016 13:00,595.4
1/18/2016 14:00,594.1
1/18/2016 15:00,597.7
1/18/2016 16:00,614
1/18/2016 17:00,637.3
1/18/2016 18:00,641.3
1/18/2016 19:00,635.9
1/18/2016 20:00,628.4
1/18/2016 21:00,611
1/18/2016 22:00,596.5
1/18/2016 23:00,588
1/19/2016 0:00,584.6
1/19/2016 1:00,583.5
1/19/2016 2:00,584.7
1/19/2016 3:00,584
1/19/2016 4:00,589.9
1/19/2016 5:00,610.2
1/19/2016 6:00,642.8
1/19/2016 7:00,657.4
1/19/2016 8:00,652.1
1/19/2016 9:00,652.7
1/19/2016 10:00,651.2
1/19/2016 11:00,649.7
1/19/2016 12:00,644.8
1/19/2016 13:00,643.3
1/19/2016 14:00,639.5
1/19/2016 15:00,640.4
1/19/2016 16:00,650.3
1/19/2016 17:00,667.2
1/19/2016 18:00,666.5
1/19/2016 19:00,660.6
1/19/2016 20:00,646.5
1/19/2016 21:00,625.6
1/19/2016 22:00,604.4
1/19/2016 23:00,592.9
1/20/2016 0:00,587.4
1/20/2016 1:00,578.2
1/20/2016 2:00,570.8
1/20/2016 3:00,573.6
1/20/2016 4:00,576.2
1/20/2016 5:00,595.2
1/20/2016 6:00,620.8
1/20/2016 7:00,626.4
