Date,Load(kW)
1/1/2016 0:00,1603.3
1/1/2016 1:00,1536
1/1/2016 2:00,1480.4
1/1/2016 3:00,1459.6
1/1/2016 4:00,1454.8
1/1/2016 5:00,1467.3
1/1/2016 6:00,1518.1
1/1/2016 7:00,1555.4
1/1/2016 8:00,1567.8
1/1/2016 9:00,1623.1
1/1/2016 10:00,1682.9
1/1/2016 11:00,1708.3
1/1/2016 12:00,1709.5
1/1/2016 13:00,1712.1
1/1/2016 14:00,1729.1
1/1/2016 15:00,1736.4
1/1/2016 16:00,1759.4
1/1/2016 17:00,1845.6
1/1/2016 18:00,1913.8
1/1/2016 19:00,1949.1
1/1/2016 20:00,1931
1/1/2016 21:00,1893
1/1/2016 22:00,1804.2
1/1/2016 23:00,1712.2
1/2/2016 0:00,1594
1/2/2016 1:00,1533.3
1/2/2016 2:00,1510.6
1/2/2016 3:00,1497.1
1/2/2016 4:00,1497.9
1/2/2016 5:00,1521.1
1/2/2016 6:00,1582.5
1/2/2016 7:00,1658.3
1/2/2016 8:00,1687.7
1/2/2016 9:00,1744
1/2/2016 10:00,1801.6
1/2/2016 11:00,1815.5
1/2/2016 12:00,1818.8
1/2/2016 13:00,1816.7
1/2/2016 14:00,1810.6
1/2/2016 15:00,1819.2
1/2/2016 16:00,1883.3
1/2/2016 17:00,1991.9
1/2/2016 18:00,1987.7
1/2/2016 19:00,1972.6
1/2/2016 20:00,1945.7
1/2/2016 21:00,1935.4
1/2/2016 22:00,1854.8
1/2/2016 23:00,1761.6
1/3/2016 0:00,1663.5
1/3/2016 1:00,1594.6
1/3/2016 2:00,1558.7
1/3/2016 3:00,1531.7
1/3/2016 4:00,1531.9
1/3/2016 5:00,1551.3
1/3/2016 6:00,1581.9
1/3/2016 7:00,1628
1/3/2016 8:00,1681.7
1/3/2016 9:00,1724.7
1/3/2016 10:00,1754.5
1/3/2016 11:00,1799.4
1/3/2016 12:00,1817.5
1/3/2016 13:00,1809.1
1/3/2016 14:00,1817
1/3/2016 15:00,1827.2
1/3/2016 16:00,1904
1/3/2016 17:00,2004.1
1/3/2016 18:00,2004.4
1/3/2016 19:00,1996.3
1/3/2016 20:00,1943.1
1/3/2016 21:00,1866.1
1/3/2016 22:00,1779.5
1/3/2016 23:00,1697.3
1/4/2016 0:00,1632.2
1/4/2016 1:00,1602.4
1/4/2016 2:00,1583.8
1/4/2016 3:00,1573
1/4/2016 4:00,1607.9
1/4/2016 5:00,1698.6
1/4/2016 6:00,1873.7
1/4/2016 7:00,1995
1/4/2016 8:00,2020.4
1/4/2016 9:00,2072.7
1/4/2016 10:00,2101.9
1/4/2016 11:00,2108.9
1/4/2016 12:00,2099.5
1/4/2016 13:00,2107.4
1/4/2016 14:00,2101.5
1/4/2016 15:00,2098
1/4/2016 16:00,2142.5
1/4/2016 17:00,2273
1/4/2016 18:00,2284.6
1/4/2016 19:00,2251.1
1/4/2016 20:00,2202
1/4/2016 21:00,2118
1/4/2016 22:00,2009.2
1/4/2016 23:00,1880
1/5/2016 0:00,1809.1
1/5/2016 1:00,1763.9
1/5/2016 2:00,1742.4
1/5/2016 3:00,1741.5
1/5/2016 4:00,1761.7
1/5/2016 5:00,1854.7
