Date,Load(kW)
8/1/2015 0:00,43452.95
8/1/2015 1:00,40594.02
8/1/2015 2:00,38282.35
8/1/2015 3:00,36704.69
8/1/2015 4:00,35732.06
8/1/2015 5:00,35414.04
8/1/2015 6:00,35489.99
8/1/2015 7:00,35874.93
8/1/2015 8:00,38851.55
8/1/2015 9:00,42793.03
8/1/2015 10:00,46926.1
8/1/2015 11:00,50993.26
8/1/2015 12:00,54242.57
8/1/2015 13:00,56752.87
8/1/2015 14:00,58679.28
8/1/2015 15:00,60142.12
8/1/2015 16:00,60892.88
8/1/2015 17:00,60602.33
8/1/2015 18:00,59359.17
8/1/2015 19:00,56969.99
8/1/2015 20:00,54524.22
8/1/2015 21:00,52377.14
8/1/2015 22:00,48808.77
8/1/2015 23:00,45062.77
8/2/2015 0:00,41751.67
8/2/2015 1:00,39251.65
8/2/2015 2:00,37225.67
8/2/2015 3:00,35772.7
8/2/2015 4:00,34660.88
8/2/2015 5:00,34221.47
8/2/2015 6:00,33983.65
8/2/2015 7:00,34158.69
8/2/2015 8:00,37021.88
8/2/2015 9:00,41123.74
8/2/2015 10:00,45420.02
8/2/2015 11:00,49649.91
8/2/2015 12:00,53309.91
8/2/2015 13:00,56385.8
8/2/2015 14:00,58847.69
8/2/2015 15:00,60633.79
8/2/2015 16:00,61700
8/2/2015 17:00,61880.63
8/2/2015 18:00,60738.19
8/2/2015 19:00,58541.63
8/2/2015 20:00,56313.59
8/2/2015 21:00,54375.55
8/2/2015 22:00,50350.16
8/2/2015 23:00,45909.66
8/3/2015 0:00,42175.23
8/3/2015 1:00,39480.58
8/3/2015 2:00,37667.13
8/3/2015 3:00,36650.97
8/3/2015 4:00,36354.1
8/3/2015 5:00,37267.56
8/3/2015 6:00,39026.91
8/3/2015 7:00,40042.98
8/3/2015 8:00,42835.53
8/3/2015 9:00,46497.6
8/3/2015 10:00,50649.42
8/3/2015 11:00,54863.2
8/3/2015 12:00,58669.15
8/3/2015 13:00,61929.88
8/3/2015 14:00,64343.06
8/3/2015 15:00,65800.4
8/3/2015 16:00,66241.35
8/3/2015 17:00,65475.82
8/3/2015 18:00,63648.9
8/3/2015 19:00,61152.99
8/3/2015 20:00,59036.27
8/3/2015 21:00,56982.56
8/3/2015 22:00,52787.94
8/3/2015 23:00,48348.49
8/4/2015 0:00,44579.12
8/4/2015 1:00,41879.13
8/4/2015 2:00,40005.39
8/4/2015 3:00,38792.06
8/4/2015 4:00,38472.73
8/4/2015 5:00,39429
8/4/2015 6:00,41274.1
8/4/2015 7:00,42012.95
8/4/2015 8:00,44312.37
8/4/2015 9:00,47975.72
8/4/2015 10:00,52172.08
8/4/2015 11:00,56160.95
8/4/2015 12:00,59491.73
8/4/2015 13:00,62056.02
8/4/2015 14:00,63928.89
8/4/2015 15:00,65138.87
8/4/2015 16:00,65686.06
8/4/2015 17:00,65421.68
8/4/2015 18:00,63759.26
8/4/2015 19:00,61316.18
8/4/2015 20:00,59407.08
8/4/2015 21:00,57663
8/4/2015 22:00,53771.24
8/5/2015 0:00,47750.04
8/5/2015 1:00,43574.76
8/5/2015 2:00,41755.57
8/5/2015 3:00,40676.23
8/5/2015 4:00,40450.25
